rank  organ         case                               slice    id      dice    area
77    Esophagus     CT_Abd_FLARE22_Tr_0017.npz            96    10    0.3381     206
78    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            91    10    0.3385     162
79    Esophagus     CT_Abd_FLARE22_Tr_0036.npz            82    10    0.3418     184
80    RAG           CT_Abd_FLARE22_Tr_0024.npz            49     7    0.3422     221
81    RAG           CT_Abd_FLARE22_Tr_0010.npz            59     7    0.3440     174
82    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            89    10    0.3465     153
83    Esophagus     CT_Abd_FLARE22_Tr_0035.npz            91    10    0.3498     165
84    RAG           CT_Abd_FLARE22_Tr_0024.npz            58     7    0.3504     200
85    RAG           CT_Abd_FLARE22_Tr_0038.npz            62     7    0.3514     150
86    RAG           CT_Abd_FLARE22_Tr_0010.npz            58     7    0.3605     156
87    Esophagus     CT_Abd_FLARE22_Tr_0036.npz            81    10    0.3635     195
88    RAG           CT_Abd_FLARE22_Tr_0024.npz            48     7    0.3635     233
89    RAG           CT_Abd_FLARE22_Tr_0040.npz            48     7    0.3660     140
90    Esophagus     CT_Abd_FLARE22_Tr_0033.npz           100    10    0.3662     139
91    Esophagus     CT_Abd_FLARE22_Tr_0033.npz            94    10    0.3712     137
92    RAG           CT_Abd_FLARE22_Tr_0021.npz            52     7    0.3781     113
93    RAG           CT_Abd_FLARE22_Tr_0033.npz            61     7    0.3821     160
94    RAG           CT_Abd_FLARE22_Tr_0007.npz            65     7    0.3826     158
95    Esophagus     CT_Abd_FLARE22_Tr_0036.npz            80    10    0.3859     168
96    Esophagus     CT_Abd_FLARE22_Tr_0031.npz            93    10    0.3878     141
97    Esophagus     CT_Abd_FLARE22_Tr_0020.npz            73    10    0.3922     781
98    Esophagus     CT_Abd_FLARE22_Tr_0035.npz            90    10    0.3941     161
99    RAG           CT_Abd_FLARE22_Tr_0003.npz            56     7    0.3953     123
100   RAG           CT_Abd_FLARE22_Tr_0003.npz            58     7    0.3995     164
101   RAG           CT_Abd_FLARE22_Tr_0005.npz            51     7    0.4053     178
102   Esophagus     CT_Abd_FLARE22_Tr_0016.npz            81    10    0.4069     218
103   Esophagus     CT_Abd_FLARE22_Tr_0033.npz            92    10    0.4075     145
104   Pancreas      CT_Abd_FLARE22_Tr_0007.npz            55     4    0.4086     134
105   Esophagus     CT_Abd_FLARE22_Tr_0029.npz            92    10    0.4093     217
106   LAG           CT_Abd_FLARE22_Tr_0007.npz            47     8    0.4108     140
107   RAG           CT_Abd_FLARE22_Tr_0024.npz            59     7    0.4150     182
108   RAG           CT_Abd_FLARE22_Tr_0038.npz            64     7    0.4174     164
109   Pancreas      CT_Abd_FLARE22_Tr_0035.npz            27     4    0.4176     135
110   Esophagus     CT_Abd_FLARE22_Tr_0006.npz            82    10    0.4195     255
111   RAG           CT_Abd_FLARE22_Tr_0032.npz            54     7    0.4209     150
112   RAG           CT_Abd_FLARE22_Tr_0024.npz            45     7    0.4273     100
113   RAG           CT_Abd_FLARE22_Tr_0030.npz            50     7    0.4299     121
114   Esophagus     CT_Abd_FLARE22_Tr_0038.npz           107    10    0.4361     190
115   Esophagus     CT_Abd_FLARE22_Tr_0033.npz            95    10    0.4399     145
116   Esophagus     CT_Abd_FLARE22_Tr_0033.npz            87    10    0.4407     184
117   Esophagus     CT_Abd_FLARE22_Tr_0006.npz            81    10    0.4476     259
118   Esophagus     CT_Abd_FLARE22_Tr_0010.npz            94    10    0.4568     275
119   Esophagus     CT_Abd_FLARE22_Tr_0006.npz            80    10    0.4708     256
120   RAG           CT_Abd_FLARE22_Tr_0033.npz            63     7    0.4760     167
121   LAG           CT_Abd_FLARE22_Tr_0024.npz            47     8    0.4780     278
122   Pancreas      CT_Abd_FLARE22_Tr_0017.npz            25     4    0.4800     419
123   LAG           CT_Abd_FLARE22_Tr_0039.npz            44     8    0.4854     190
124   RAG           CT_Abd_FLARE22_Tr_0035.npz            58     7    0.4859     100
125   RAG           CT_Abd_FLARE22_Tr_0038.npz            65     7    0.5037     149
126   RAG           CT_Abd_FLARE22_Tr_0035.npz            59     7    0.5051     105
127   RAG           CT_Abd_FLARE22_Tr_0038.npz            66     7    0.5088     167
128   Pancreas      CT_Abd_FLARE22_Tr_0032.npz            54     4    0.5096     253
129   Pancreas      CT_Abd_FLARE22_Tr_0035.npz            35     4    0.5097     606
130   Pancreas      CT_Abd_FLARE22_Tr_0030.npz            42     4    0.5181     307
131   Pancreas      CT_Abd_FLARE22_Tr_0018.npz            38     4    0.5183     229
132   Esophagus     CT_Abd_FLARE22_Tr_0028.npz            83    10    0.5243     255
133   RAG           CT_Abd_FLARE22_Tr_0026.npz            29     7    0.5284     164
134   RAG           CT_Abd_FLARE22_Tr_0038.npz            67     7    0.5338     171
135   Esophagus     CT_Abd_FLARE22_Tr_0031.npz            88    10    0.5339     139
136   RAG           CT_Abd_FLARE22_Tr_0017.npz            58     7    0.5379     189
137   RAG           CT_Abd_FLARE22_Tr_0026.npz            30     7    0.5551     195
138   RAG           CT_Abd_FLARE22_Tr_0026.npz            31     7    0.5662     225
139   RAG           CT_Abd_FLARE22_Tr_0026.npz            32     7    0.5672     236
140   Pancreas      CT_Abd_FLARE22_Tr_0019.npz            11     4    0.5698     312
